ID,Athlete_ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
87856,44543,Matias Habtemichael,M,17,185,65,Ethiopia,ETH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

98349,49776,Rbert Honti,M,25,181,67,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

1521,841,Walter Adams,M,23,172,67,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

34336,17694,Colin William Ashburner Campbell,M,26,185,76,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

219330,110178,Muhammad Siddique,M,23,NA,NA,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

158462,79542,Herman Mignon,M,21,180,69,Belgium,BEL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

165650,83198,Benson Mulomba,M,22,177,54,Zambia,ZAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

60617,31040,Byron Alphonso Dyce,M,24,178,67,Jamaica,JAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

189789,95324,Jozef Plach,M,23,182,73,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

157950,79289,Josip Joe' Meimurec',M,27,176,69,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

221191,111149,Sri Ram Singh Shekhawat,M,22,178,63,India,IND,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

156794,78753,Francisco Mauricio Menocal,M,26,175,70,Nicaragua,NCA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

188570,94721,Fritz Pierre,M,23,182,67,Haiti,HAI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

36266,18631,Andrew William Andy' Carter',M,23,183,69,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

213167,107038,Josef Schmid,M,19,180,70,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

166306,83520,Francis Frank' Murphy',M,25,183,70,Ireland,IRL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

197286,99046,douard Rasoanaivo,M,25,176,62,Madagascar,MAD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

198291,99569,Shibrou Regassa,M,28,175,57,Ethiopia,ETH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

179310,90101,Robert Ouko,M,23,173,68,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

172444,86638,Harry Nkopeka,M,23,178,66,Malawi,MAW,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

210164,105513,Alain Sans,M,27,178,70,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

48604,25046,Carlos Angel Dalurzo,M,19,179,70,Argentina,ARG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

209590,105244,Roqui Sanchez,M,19,173,66,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

24590,12882,Michael Kipsubut Mike' Boit',M,23,180,68,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,Bronze

270534,135305,Andrs Zsinka,M,24,174,67,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

208015,104412,Thomas Saisi,M,27,173,68,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

204087,102460,Graeme Lindsay Rootham,M,24,177,73,Australia,AUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

45878,23677,James Jimmy' Crampton',M,23,170,51,Myanmar,MYA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

46366,23920,David Dave' Cropper',M,26,185,73,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

104365,52808,Ivan Ivanov,M,24,177,64,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

78850,40025,Gheorghe Ghipu,M,17,183,63,Romania,ROU,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

99493,50357,Thomas O'Brien Howe,M,27,183,77,Liberia,LBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

4750,2712,Mohamed Sid Ali Djouadi,M,20,NA,NA,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

244864,122605,Mehmet Tmkan,M,28,178,70,Turkey,TUR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

81772,41515,Francis Gonzalez,M,20,170,60,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

129231,65057,Andrzej Kupczyk,M,23,177,64,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

101330,51237,Angelo Koko Nimir Hussein,M,NA,172,64,Sudan,SUD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

1522,841,Walter Adams,M,27,172,67,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

254025,127197,Yevhen Volkov,M,24,172,68,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

142267,71369,Hctor Lpez,M,19,182,74,Venezuela,VEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

86036,43629,Mansour Guettaya Gotti,M,22,178,68,Tunisia,TUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

87561,44390,Rolf Gysin,M,20,180,62,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

94393,47769,Sjef Hensgens,M,24,179,67,Netherlands,NED,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

89603,45413,Kassem Hamz,M,22,166,62,Lebanon,LIB,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

115773,58653,Franz-Josef Kemper,M,26,180,61,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

262274,131230,Richard Charles Rick' Wohlhuter',M,23,175,60,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

112978,57238,Roger Messau Kangni,M,NA,175,70,Togo,TOG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

263073,131638,David James Dave' Wottle',M,22,183,66,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,Gold

9950,5439,Donaldo Arza,M,26,180,69,Panama,PAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

11682,6373,Mohamed Azzedine Azzouzi,M,24,181,65,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

63885,32739,Mohammad Reza Entezari,M,26,178,73,Iran,IRI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

148180,74355,Alphonse Mandonda,M,21,183,73,Congo (Brazzaville),CGO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

68102,34787,Antonio Fernndez Ortz,M,24,173,66,Spain,ESP,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

9962,5446,Yevhen Oleksandrovych Arzhanov,M,24,179,68,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,Silver

807,461,Mohamed Aboker,M,26,175,61,Somalia,SOM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

229358,115159,Lennox Stewart,M,22,175,66,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

765,438,Jaiye Abidoye,M,30,NA,NA,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

147947,74245,Fernando Eugnio Pacheco Mamede,M,19,174,58,Portugal,POR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

233517,117117,Kenneth Lloyd Ken' Swenson',M,24,177,66,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

234800,117746,Mulugetta Tadesse,M,26,176,64,Ethiopia,ETH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

7211,4032,Daniel Andrade,M,22,173,60,Senegal,SEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

73439,37323,Dieter Fromm,M,24,178,65,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

